Company,Valuation ($B) ,Country,Category,Select Investors
Afiniti,$1.80 ,United States,Artificial intelligence,GAM Holding
BillDesk,$1.90 ,India,Fintech,"Temasek Holdings, Visa, March Capital Partners"
Verkada,$1.80 ,United States,Cybersecurity,"next47, First Round Capital, Sequoia Capital"
L&P Cosmetic,$1.19 ,South Korea,Consumer & retail,CDIB Capital
wefox Group,$1.65 ,Germany,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Kaseya,$2.00 ,United States,Cybersecurity,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Apus Group,$1.73 ,China,Mobile & telecommunications,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Xinchao Media,$1.72 ,China,Internet software & services,"JD.com, Baidu, Vision Plus Capital"
Squarespace,$1.70 ,United States,Internet software & services,"General Atlantic, Index Ventures, Accel Partners"
Buzzfeed,$1.70 ,United States,Internet software & services,"SV Angel, RRE Ventures, New Enterprise Associates"
XANT,$1.70 ,United States,Artificial intelligence,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
Graphcore,$1.95 ,United Kingdom,Artificial intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
Pax Labs,$1.70 ,United States,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Carta,$1.70 ,United States,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures"
Thumbtack,$1.70 ,United States,E-commerce & direct-to-consumer,"Tiger Global, Sequoia Capital, Google Capital"
Scopely,$1.70 ,United States,Mobile & telecommunications,"Greycroft, Sands Capital, Revolution Growth"
Darktrace,$1.65 ,United Kingdom,Artificial intelligence,"KKR, Ten Eleven Ventures, Summit Partners"
Jusfoun Big Data,$1.65 ,China,Data management & analytics,"Boxin Capital, DT Capital Partners, IDG Capital"
ServiceTitan,$1.65 ,United States,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Zhubajie,$1.61 ,China,Internet software & services,"Cybernaut Growth Fund, IDG Capital"
Infinidat,$1.60 ,Israel,Hardware,"TPG Growth, Goldman Sachs"
BlaBlaCar,$1.60 ,France,Auto & transportation,"Accel Partners, Index Ventures, Insight Venture Partners"
CAOCAO,$1.60 ,China,Auto & transportation,"People Electrical Appliance Group China, Zhongrong International Trust"
Dataminr,$1.60 ,United States,Artificial intelligence,"Venrock, Institutional Venture Partners, Goldman Sachs"
Sweetgreen,$1.60 ,United States,Consumer & retail,"Red Sea Ventures, Fidelity Investments, Revolution"
Pine Labs,$1.60 ,India,Fintech,"MasterCard, Temasek, PayPal Ventures"
ASR Microelectronics,$1.60 ,China,Hardware,"Shenzhen Capital Group, Sequoia Capital China, Hillhouse Capital Management"
Podium,$1.50 ,United States,Internet software & services,"Accel, Summit Partners, Google Ventures"
Delhivery,$1.50 ,India,"Supply chain, logistics, & delivery","Times Internet, Nexus Venture Partners, SoftBank Group"
Quanergy Systems,$2.00 ,United States,Auto & transportation,"Delphi Automotive, Samsung Ventures, Motus Ventures"
AIWAYS,$1.59 ,China,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Promasidor Holdings,$1.58 ,South Africa,Consumer & retail,"IFC, Ajinomoto"
Monzo,$1.57 ,United Kingdom,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Northvolt,$1.57 ,Sweden,Other,"Vattenfall, Volkswagen Group, Goldman Sachs"
Ximalaya FM,$1.52 ,China,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
Mu Sigma,$1.50 ,United States,Data management & analytics,"Sequoia Capital, General Atlantic"
Tujia,$1.50 ,China,Travel,"GGV Capital, QiMing Venture Partnersl"
ironSource,$1.50 ,Israel,Mobile & telecommunications,"Access Industries, Clal Industries and Investments"
Asana,$1.50 ,United States,Internet software & services,"8VC, Benchmark, Generation Investment Management"
Segment,$1.50 ,United States,Data management & analytics,"Accel, Y Combinator, Thrive Capital"
Cybereason,$1.50 ,United States,Cybersecurity,"SoftBank Group, CRV, Spark Capital"
PolicyBazaar,$1.50 ,India,Fintech,"Info Edge, Softbank Capital"
DT Dream,$1.50 ,China,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
JFrog,$1.50 ,United States,Internet software & services,"Gemini Israel Ventures, VMware, Battery Ventures"
ACV Auctions,$1.50 ,United States,E-commerce & direct-to-consumer,"Bessemer Venture Partners, Tribeca Venture Partners, Bain Capital Ventures"
ApplyBoard,$1.50 ,Canada,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Gett,$1.40 ,Israel,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures"
Duolingo,$1.50 ,United States,Education,"capitalG, Union Square Ventures, New Enterprise Associates"
CGTZ,$1.40 ,China,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Coocaa,$1.45 ,China,Hardware,"Baidu, Tencent Holdings"
Tuya Smart,$1.44 ,China,Internet software & services,"New Enterprise Associates, Quadrille Capital, Global Bridge Capital"
Koudai,$1.40 ,China,E-commerce & direct-to-consumer,"New Enterprise Associates, Tiger Global management, Tencent"
AvidXchange,$1.40 ,United States,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
Hike,$1.40 ,India,Mobile & telecommunications,"Foxconn, Tiger Global management, Tencent"
C3,$1.40 ,United States,Artificial intelligence,"Makena Capital Management, TPG Growth, Breyer Capital"
AppLovin,$1.40 ,United States,Mobile & telecommunications,"Orient Hontai Capital, Webb Investment Network"
Allbirds,$1.40 ,United States,E-commerce & direct-to-consumer,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
Cabify,$1.40 ,Spain,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten"
Away,$1.40 ,United States,E-commerce & direct-to-consumer,"Global Founders Capital, Comcast Ventures, Forerunner Ventures"
Symphony Communication Services,$1.40 ,United States,Internet software & services,"BNP Paribas, Goldman Sachs, Google"
Dataiku,$1.40 ,United States,Internet software & services,"Alven Capital, FirstMark Capital, capitalG"
Yidian Zixun,$1.40 ,China,Mobile & telecommunications,"Phoenix New Media, Tianjin Haihe Industry Fund"
Hive Box,$1.40 ,China,"Supply chain, logistics, & delivery","Eastern Bell Capital, SF Holding Co, STO Express"
GPClub,$1.32 ,South Korea,Other,Goldman Sachs
CureVac,$1.30 ,Germany,Health,"dievini Hopp BioTech Holding & Co., Eli Lilly & Co., LBBW Venture Capital"
Zeta Global,$1.30 ,United States,Internet software & services,"GSO Capital Partners, Franklin Square"
Docker,$1.30 ,United States,Internet software & services,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital"
Trax,$1.30 ,Singapore,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
Wildlife Studios,$1.30 ,Brazil,Other,"Benchmark, Bessemer Venture Partners"
You & Mr Jones,$1.30 ,United States,Other,Undisclosed
InSightec,$1.30 ,Israel,Health,"York Capital Management, GE Healthcare, Koch Disruptive Technologies"
Ovo Energy,$1.28 ,United Kingdom,Other,"Mitsubishi Corporation, Mayfair Equity Partners"
Starry,$1.27 ,United States,Mobile & telecommunications,"Social Capital, Bessemer Venture Partners"
WTOIP,$1.27 ,China,Internet software & services,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Intercom,$1.29 ,United States,Internet software & services,"FirstMark Capital, Tiger Global Management"
Atom Bank,$1.25 ,United Kingdom,Fintech,"Toscafund Asset Management, Woodford Investment Management, BBVA"
Butterfly Network,$1.25 ,United States,Artificial intelligence,"Bill & Melinda Gates Foundation, Aeris Capital,"
ezCater,$1.25 ,United States,"Supply chain, logistics, & delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
Infi,$1.25 ,Israel,Artificial intelligence,Pacific Century Group
KeepTruckin,$1.20 ,United States,"Supply chain, logistics, & delivery","Google Ventures, Index Ventures, Scale Venture Partners"
